name,summary
The Story Hotel Pera,"Boutique hotel in the heart of Beyoglu. Great hotel, great service, great location - Excellent. Probably the best boutique hotel in Istanbul. Easy access to stores on istiklal & restaurants on Asmali mescit. Staff are very helpful & provided excellent service during our stay. Hotel Story is located in the centre of Istanbul. The hotel is less than ten minutes from the cruise port. The rooms are spacious and very well appointed. The staff are friendly and courteous. The complimentary remote Wi-Fi box was a pleasant and valuable service. I highly recommend this hotel."
Hotel Amira Istanbul,"Hotel Amira is located in the perfect spot...within walking distance to the Grand Bazaar and Blue Mosque. The food in the Rooftop Restaurant/Bar is delicious and the - Hotel Amira customer service is second to none. The real crown of this hotel is its front desk employees....1000% the best! Amira Hotel is located in the Sultanahmet district of Istanbul. The hotel's unique architecture comprises two typical Turkish residences joined by an atrium and creating a small, friendly hotel full of character. Special attractions are the Turkish breakfasts, the great rooftop bar for evening drinks and snacks overlooking the Bosphorus, and the smiling, incredibly helpful youthful staff. Hotel Amira is in an excellent location in Fatih, right near the heart of the old city with major attractions all within walking distance. It has a spectacular rooftop terrace/lounge area where you can soak up the views of the Bosphorus River, surrounding mosques and eclectic local architecture. Hotel Amira is a boutique hotel in the middle of the old city. Is within walking distance of all of the main attractions,  the Hippodrome, the Blue Mosque, Hagia Sophia and so on. The hotel is clean and modern, the staff are competent and incredibly accomodating. The included breakfast was delicious particularly the freshly made bread custom to order. Hotel Amira Rocks is in a great location, just a 10 minute walk to historic sites. The staff are friendly and eager to please us in every way. The rooftop restaurant had a stunning view and great bartenders. The room was clean, homey and comforting for our first nights in. The rooms were amazing. The customer service and attention to detail was really top notch. The breakfast was incredible. The rooftop restaurant was also very nice with an incredible view. While the whole trip, I felt like I was walking on eggshells to make sure nobody was scamming me. The people at Amira were so honest and kind and truly amazing people."
Mula Hotel,"Mula Hotel is a boutique hotel in the heart of Istanbul’s historic district. The location is fabulous - walking distance to all the main sites. The attention to customer details was amazing. The service was promt and perfect. Only regret was to spend only one night there. The Mula hotel is a great hotel with an exceptional focus on service. Lots of staff, very attentive to any detail, super friendly and service minded. We were treated as royals. The breakfast is great value for money!  Besides the buffet you can request the kitchen a wide variety of dishes, all included in breakfast fee."
Sirkeci Mansion,"Sirkeci Mansion Hotel is a historic building in the heart of Istanbul’s historic district. The staff go out of their way to help, and it is very clean. It is a removers old building, which makes it charming, but also means a tight elevator and tight stairway. The rooms are also quite small but really lovely. Sirkeci Mansion is a fine boutique hotel in the old area of Istanbul. The hotel is in an excellent position surrounded by shops selling a variety of goods with very friendly, NOT pushy, shopkeepers. Great gym. Cocktails every evening on the roof with great views. Location is perfect. Walking distance to sultanamet blue mosque hagia sofia. Metro literally on doorstep. All hotel staff extremely friendly and made us feel welcome. Hotel staff helped with tours available around area. Supplied with tourist sim card. Hotel is located steps away from the trams that operate more frequently than public transportation in large cities. Sirkeci Mansion Hotel is located in the Old Town of Istanbul, Turkey. The hotel has a beautiful terrace to sit on and enjoy the view of the Bosphorus. The staff are friendly and approachable in a fun way. The breakfast is wonderful and excellent quality. Hotel is located superbly, right near a Tram station from one side, but also within a walking distance for all attractions of the Old City. Daily activities offer guests a glimpse into the culture and history of Istanbul, including a tour of the Golden Horn neighborhood. The hotel staff were friendly and helpful, the rooms were comfortable, there is a good Turkish style breakfast and welcome snacks and tea in the afternoon after a day out in Istanbul. The bathroom was tiny! The shower was actually a normal size, but the vanity was so small and squished so that you could not shut the door."
Tomtom Suites,"Tomtom Suites combines excellent service, a prime location, and boutique elegance. The attention to detail in its design and the stunning views from many rooms, particularly over the Golden Horn, are remarkable. The added bonus of the Michelin-starred rooftop restaurant “Nicole” made our last evening a grand finale. Tomtom Suites, Istanbul is a small luxury hotel in a quiet area of busy Istanbul. The hotel is located in a secluded area opposite the Italian embassy and an Italian school. The staff are out of this world, especially Sinan, at reception who was always very helpful, welcoming and would do everything possible. Tom Tom Suites is an A+ in every respect. The rooms are very spacious, proper suites, and very nicely appointed. The breakfast is excellent, served with a wonderful view of the Bosporus. The restaurant is a high end fine dining establishment. If you can't afford dinner, you will still enjoy a really special breakfast - some unique offerings. TomTom Suites Istanbul is a charming boutique hotel. The rooms are spacious and very comfortable. The location is perfect for touring and the roof top restaurant has a magnificent view. The manager went out of his way to plan out tour of the city and arranged a private yacht tour."
Sura Hagia Sophia Hotel,"Sura Hagia Sofia Hotel is in the heart of the city just a few minutes away from the Blue mosque, Hagia Sophia, and Topkapi Palace. The room is very clean, many pillows and very comfortable pillows, big room and beautiful room decoration and set. The view from my room very nice, directly to the garden+pool whenever open the window. The hotel is not a 5 star hotel. Rooms are extremely stuffy as the aircon will not work in the winter- only warm air will come out. No USB charging points- ridiculous for a five star hotel to not have this. The food and service was fabulous. Loved their breakfast. Sura Hagia is in the heart of Istanbul, close to the Blue Mosque and Spice Markets. The Spa is great including free use of the Sauna, Steam and Hammam. The barbers/hairdresser and massages are all exceptional and fairly priced. The Sura hotel is located in central Istanbul. The hotel is walking distance from most of the main attractions as well as shops and so many cafes and restaurants to choose. The staff were friendly and helpful. The location feels safe and is very close to the trams, so travelling around Istanbul is made easy. The hotel is in the heart of the Sultanahmet district. It is easy to walk to Mosques, Palace, Grand Bazar, Park, Bosphorus, etc. Plenty of dining options around the area. Room size is kind of small. bathroom shower has slippery floor."
Ramada by Wyndham Istanbul Old City,"1 traveled with my family to Istanbul and I want to share my honest review about this wonderful hotel. Our experience at Hotel Ramada was exceptional. The staff's hospitality was outstanding - they were not only helpful but also incredibly kind and generous. The cleanliness of the hotel was impeccable, and the safety measures in place made it feel like a second home. Ramada Mükemmel is located near the Findikzade stop on the T1, which takes you to all the important spots in Istanbul. The room was big, clean and well designed. The breakfast buffet was good but the menu didn't change daily."
MySuite Istanbul,"Fantastic location and stay in the heart of Istanbul - MySuite, a lovely place in Istanbul. Great location lots of food shops, restaurants and bars  and Taksim Square. Accommodation was clean and had everything you need including air con. Area felt safe and was really busy. The location and the host are great! It is a safe neighborhood, you can find anything you need in walking distance. The place is an excellent choice for couples and short visits. The host Enes is very friendly and helpful - he greeted us personally and gave tips on noteworthy places. The apartment with terrace we stayed in was wonderful in every way: the interior, the location, and most importantly the terrace. Enes is an excellent and helpful host. He advised some tasty restaurants nearby and how to spend leisure time in Intanbul. I am ready to advertise My Suite to my friends and I hope to visit Istanbul again."
Wyndham Istanbul Oldcity,"The staff provided outstanding service throughout, diligently working to match the establishment's elegant atmosphere. Its prime location is ideal for major attractions, conveniently situated near subway and tram stations for easy access to key sites. While the breakfast and dinner offerings are modest and not particularly extravagant, they are satisfactory if you're not looking for a lavish dining experience. Wyndham Hotel Istanbul Old City is renowned for its exceptional amenities and outstanding service. One remarkable highlight of this hotel is its amazing buffet, offering a wide array of delicious dishes to satisfy your tastes and cravings. However, the decor is slightly gaudy and tacky – the chandelier, for example, looks like it came out of a Christmas cracker. Istanbul Holiday is located in the Fatih district of the city. The hotel is close to all tourist locations and has great food options. The rooms are very small compared to other hotels and are also a little dated. The pool desperately needs some maintenance and attention. The haman bath is amazing and Mr Murat's service at the dining hall is excellent. Istanbul Old City Hotel is a 5 star hotel in Istanbul, Turkey. The hotel is located near the metro and is a 10 minute walk from the city centre. The food at the hotel is very poor and the cleanliness is subpar. The staff are friendly but not very helpful. The water in the hotel has a bad smell and taste. The hotel will soon be under the Wyndham group management. The roof pool is a reasonable size, the spa pool is even bigger. Breakfast was good, but for sure it can be improved. Majority of Istanbul attractions are within walking distance. Pools are nice, but water in the  indoor pool was extremely cold. City View with No Windows. Great value for money. Horrible experience - you can hear everything! - Stay Away - Honemoon in Istanbul. -  Stay away from Honemoons in Istanbul -   Stay Away from honemoons.com -  "
Cheers Lighthouse,"Cheers hostel is in a perfect location to see the historic sites of Istanbul. The hostel has the perfect location if you want to explore the city. Every evening there is a program (Pup Crawl, Free Shisha evening, drinking games). There is a good bar with cheap drinks. The breakfast is also very good. The best hostel in Istanbul. Great place to meet new people from different corners of the world. Rooms are clean, has a bar and a balcony with fantastic views of the sea along with free breakfast. Walking distance from main attractions. Perfect Hostel for a field trip with students - Usual weekend. Cheers Lighthouse is the best place to go if you are a solo traveler to meet other travelers. The staff were amazing the one was from UK and two other was from Pakistan. The view is incredible the breakfast is rich sinan your amazing my men you have very positive energy they have daily events. Cheers Lighthouse is a great place for solo travellers as you get to meet so many new people. Jay in particular was very welcoming and made me feel at home. Would highly recommend!! - One of the best in the world - Amazing place to stay in 🤍."
"Crowne Plaza Istanbul - Florya, an IHG hotel","Crowne Plaza is a five star hotel in Florya Instanbul, Turkey. The hotel is located in the heart of the city's tourist area. It is one of the most expensive hotels in the city. The accommodation is available in two different rooms, one of which is in the basement."
AJWA Sultanahmet,"Ajwa Sultanahmet is a five star hotel in the Old City of Istanbul. The hotel is located in prime location with all tourist areas nearby. The spa Hammam and massage was one of the best I’ve ever had! Centrally located to all the best attractions too. Ajwa hotel is located near Blue Mosque, Ayasofia church, museums, Grand Bazaar and few other iconic tourist attractions. All tourist attractions are within 10 minutes walk. The breakfast buffet menu is enormous, and every single item is mouthwatering. The hotel is relatively new (< 10 years) and has been maintained well. The staff at Ajwa hotel in Istanbul were most welcoming and helpful always ready to assist. Room service was amazing, after returning from a long day it was always nice to return to a lovely clean room. The staff in Zafaran restaurant were very courteous always ready with a smile especially Hussein and Taner. The Ajwa Sultanahmet is a boutique hotel in the heart of Istanbul's historic district. The rooftop restaurant has not only fantastic views, but also an excellent buffet and menu of breakfast foods. The restaurant is non alcoholic and there is no bar. The hotel is located in the old town so the historical sites are very close."
Skalion Hotel & Spa,"Beautiful Mariem is a gem, you will get the value for your money and the fact that the booking here is budget friendly is mind blowing. 10-15 mins walk to the Grand bazzar and the the other tourist sitres; basilica cister, sofia, blue mosque shops and restaurant within 2 mins walk onsite food on the 7th floor was also great really cannot fault - Wonderful!!! Skialion Hotel and Spa is a great hotel with great staff. The view from the restaurant was amazing and the location was close to everything. The breakfast was delicious and healthy. The service was great, any queries we had the staff had signposted to the right direction. The night atmosphere around the area was busy. The rooms are not so big, depending on which floor you're on. The bathroom in the room we stayed desperately needs refurbishing. Breakfast is typical buffet with variety of local cheeses, breads and fruits. Food was good in restaurant and good selection of drinks at the bar. Attached to the hotel there are hundreds of markets, also pharmacies, currency change, restaurants....literally everything, you don't need taxi!!!"
Pera Palace Hotel,"Pera Palace Hotel is located in the historic Ataturk quarter of Istanbul, Turkey. The hotel is a favorite place of author Agatha Christie, where she wrote Murder on the Orient Express. Hotel has hosted the who's who in this part of the world, and is centrally located and situated a hop, skip and jump from İstiklal Caddesi. Hotel has a lot of history but offers little else. Great high tea (afternoon tea), its a buffet and you eat as much as you like for around £30 each. Great coffee and pastries at the patisserie. Great historical 5 star hotel, we watch all the Netflix series about this hotel drama. The Pera Palace is a hotel steeped in history and charm. The hotel has a fascinating history and is incredibly elegant and well-maintained. The staff is amazing, very welcoming and very accomodating. The location is very good, it's a neighbourhood full of restaurants and shops. Pera Palace hotel Instanbul is a 5 star hotel in Istanbul. The hotel is located in the heart of the city, close to transport and the city centre. The location is excellent, close. to vibrant city streets and transport. The staff are very friendly and efficient."
Richmond Istanbul,"The rooms are very old and damaged. The carpet and the sheets are  old and with stains. The service and kindness was my highlight. All staff was amazing especially Mr Serkan, Miss Suat and Mr Engin. All of whom made our stay memorable. The staff at Richmond Istanbul are so charming making you feel like family. The hotel is so well situated, next to the Metro and in the heart of Istiklal. The breakfast was really, really good and varied, every day there was a different type of food. I will always stay there when visiting Istanbul. Richmond Hotel Istanbul is a beautiful modern hotel right on Istakil Cadessi. Our room was on 5th floor and had a 180 degree view of the Bosphorous (I reserved this type of room). The room is modern and has a spacious bathroom. The breakfast is very good with lots selections. The hotel was meticulously clean from the room to the restaurant, and bathrooms ( in the room and in the lobby) The beds were extra comfy with cushiony pillows! Extremely comfortable! -Although the hotel was on a popular and busy street ( Istikbal) we couldn't be bothered by the outdoor noise at all! (except for the daily prayers call which were on the loudspeaker!) -The restaurant and breakfast were very good - We recommend highly this hotel."
Wyndham Grand Istanbul Kalamis Marina Hotel,Wyndham Grand Istanbul Kalamis is located on the Asian side of Istanbul. The hotel is located near the city's famous Marina. The restaurant Ersin Con is one of the best in the city. The receptionist at the hotel is inexperienced. The room is great and the view is amazing. Wyndham Kalamis is a top hotel on the Anatolian Side of Istanbul. The hotel was clear with nice environment. The breakfast was great with a big variety of different choices. The water of out door pools were very cold. The rooms were very comfortable.
YOTEL Istanbul Airport Hotel (Landside),"Yotel Istanbul Land Side is a great hotel for transit passengers through Istanbul. The food was great and so was the service everyone was super nice and accommodating. The rooms are very modern and clean. The lobby smells bad. The staff are friendly but if you are a couple and need two room keys, you have to ask for it. Yotel Istanbul Aiport is located inside the airport terminal so perfect for a tired traveler on an overnight connection. Rooms modern and functional,  lighting cold, bathroom okay - really just a plastic pod. Outrageously expensive for what you get, taking advantage of location in the huge airport of Istanbul. Yotel Istanbul (Landside) is a great place to overnight in Istanbul for a tour and flight the following day. After recent remodel, this place is way easier to find among the BladeRunner-isque mall that is the IST International Airport. The restaurant in the place was decent and had a good bar."
InterContinental Istanbul,"Ceylan InterContinental Istanbul is one of the best hotels in Istanbul. The hotel is located in Istanabul, near the Bosphorus. The club intercontinental is fantastic. The garden makes sitting outside enjoyable. The room with sea view was very nice. The Intercontinental is on a hill above the city and gives commanding views from your room and the 14th floor restaurants and bar. The rooms were incredibly comfortable (helped by the pillow menu available at reception if you wish to switch your pillow) and the service was exceptional. had a huge bathroom with all the amenities and plush towels. The location is near Taksim Square and there is a beautiful mosque and many shops and places to eat. It is a steep walk to the waterfront where there are ferries and tours. Although there was renovations in the lower floor, the breakfast restaurant and check in area worked well."
Pell Palace Hotel Spa,"The dining restaurant's breakfast is exquisite, expertly planned, and beautifully presented. Staff are friendly, helpful and welcoming. Rooms were very clean and nice and the spa was absolutely an amazing experience. The room is very clean... I travel safe as a woman i felt  safe in this hotel and area too. Pell Palace Hotel and Spa in Istanbul is in a great location, within walking distance of the Grand Bazaar, the Blue Mosque, Hagia Sophia, Basilica Cistern etc. The service overall was amazing and I would recommend to anyone looking for somewhere central to stay in Istanbul! Pell Palace is located on a'shoes street' in Istanbul. All main tourist attractions within 15min walking distance. Staff were very friendly and accommodating. Room could be a little bigger however, overall definitely worth the money. Food was warm and fresh and staff knowledgeable and kind. Pell palace hotel was a lovely place to stay at and was in a perfect location. The hotel is modern and clean, and the spa hammam treatment was fantastic. In a central location walking distance from the main attractions which is a massive plus. Will definitely stay again if I come to Istanbul."
Elite World Grand İstanbul Basın Ekspres,"The hotel and the staff have a very welcoming feeling and attitude. They have a hair salon, a huge swimming pool good for laps, a sauna, huge steam room and hamam room separate lockers for men and women. Breakfast is buffet and plentiful with large assortment of cheese, fresh fruits and bread. Gym and swimming pool are great. Istanbul hotel has the world's first rainforest in lobby. Hotel is so nice clean and friendly staff. I will come back this Hotel because of Melisa. Hotel has the most amazing and lovely staff - Unpleasant stay, will never book in this hotel again - Good SPA, good services."
Staypineapple - An Elegant Hotel,The ambiance and room were so cute and clean. The staff were all so sweet and the pineapple them was so unique and fun! I would highly recommend this hotel to anyone coming to SF! We will definitely be back again in the future! - Had an excellent stay!We loved this place! Super nice staff and beautiful room. The robes are so soft and love all the pineapple-related perks. Staypineapple is located on Geary and Jones in downtown San Francisco. The hotel is pet friendly and has a great breakfast bar. The rooms are so cute and very well taken care of. The service is great and the rooms are very comfortable. The staff is friendly and the decor is very stylish. StayPinapple in San Francisco is one of the best hotels in the city. The hotel is located in the heart of San Francisco's Mission District. The rooms are on the smaller side but they have everything you would need and more. The bed came with two comforters and the softest pillows.
Beacon Grand A Union Square Hotel,"The Beacon Grand Hotel in San Francisco is one of the city's most popular hotels. Previously known as The Sir Francis Drake Hotel, the Beacon Grand retains a sense of grand style and has kept some interesting features including high ceilings, brass fixtures and fittings, and the old US mail postal chute while adding modern features. The Beacon Grand is a renovated hotel just off Union Square. The hotel is almost a century old and has a great history. Staff are incredibly welcoming and charming. Ask about the authentic speakeasy... if you are a history buff, you'll be in for a treat (no alcohol is served). The Beacon Grand is located in the heart of downtown San Francisco. The hotel is located just off Union Square. The bar/lounge service was terrible. The doorman was rude and unhelpful, with the exception of the doorman. The gym was amazing. Super accommodating staff. The room was small but very comfortable and efficient. The bed was super comfortable, which is a new to me for a hotel. The valet and front desk staff were wonderful. The hotel staff were all very friendly and happy to help assist as they could. The restaurant offered a very nice brunch, pricey, but very good. The hotel is one of our favorites. The staff were great. The room was very clean. The bed was quite comfortable. It's so nice to see the hotel open again and see the renovations. Would not stay here again. The BEST wedding weekend hotel in SF! The best team getaway!"
Hotel Riu Plaza Fisherman’s Wharf,"Hotel Riu is close to Fisherman's Wharf and is a 30 minute walk to Union Square. Rooms were clean and spacious, breakfast was hearty and the closeness to restaurants made getting dinner easy. The TV only got the basic cable channels, the pillows were much too soft and gooey and the bathroom was a touch on the small side. Hotel Riu is a great place to stay in SFO. The rooms are nice sized and kept clean. The food selection was amazing, tasted very good and always stocked. The hotel is huge, location is great just minute walk from the pier. Plentiful of food establishments around the hotel. Riu plaza is located next to Fisherman's Wharf, Alcatraz ferry, two cable car start points, Ghiradelli, hop on hop off bus trips, Napa Valley / Sonoma wine tours. The free buffet breakfast is very good and pretty extensive. The rooms are nice and clean and the entire staff was courtesy. The hotel is located close to Fisherman's Wharf and is within easy reach of bars and restaurants. The room was modern; clean and roomy. The included breakfast buffet is the  best value of staying at RIU. The only thing preventing a 5-star rating for us was the heating unit in our room, which emi. The hotel is located in the heart of downtown San Francisco. The hotel is in a prime location for touring the city. It is a great place to stay during a vacation. The breakfast buffet is a highlight of the stay. The room temperature is kept at a temperature that is monitored by a machine."
Hotel Emblem San Francisco,"Location, friendliness, price - 5 Stars - A perfect introduction to San Francisco. May 2021 Company Retreat @ Hotel Embelm - Boutique Hotel - Excellent Location - Undisclosed Mandatory WiFi Charge - $29 - Great Stay in Beautiful Boutique hotel - Walls Are Paper Thin - Fab boutique hotel near Union Square. The staff at the Emblem were all friendly, welcoming and helpful. The common areas, the bar and the rooms are all maintained very well. The location is excellent, near Union Square, shopping, restaurants and transportation to everywhere in the city. The food was amazing, the venue was beautiful and the service was top notch. Hotel Emblem has a bohemian flair, but the books in the lobby are what really got me excited. The video fireplace…of books burning…was a very nice touch. The bar is unlike any hotel bar I’ve ever been in. Everyone was friendly, the bartender made great drinks."
LUMA Hotel San Francisco,"Luma Hotel is a brand new hotel in San Francisco. The hotel is located between Chase Center and Oracle Park. The staff is very welcoming and friendly. The rooms are smartly designed and have sweeping views of the bay. The rooftop bar serves creative cocktails to toast another Warriors win and historic game. Luma pretends that it is a full service, luxury hotel. In actuality, it is just a limited service, Vertical Motel. Order room service and a robot will deliver. There is no restaurant but for a coffee shop ten minutes away with a queue."
Chancellor Hotel on Union Square,"Great location, lovely, although quite small room - Coffee, Tea, Hot Water & Delicious Cookies in the Lobby - Charming hotel, great location - Great place to get around SF - Great hotel in Union Square - An absolute gem of a hotel - A quick visit - In the heart of the City - Quirky traditional stay. The Chancellor Hotel in San Francisco is a family run business with marvellous period detail. The hotel's location is perfect for exploring San Francisco by foot. Free cookies, tea, coffee and popcorn is awesome. The combination of great service, comfortable accommodation and good value for money. The Chancellor Hotel in San Francisco is a great choice for anyone visiting the city. The hotel's location is perfect for exploring San Francisco by foot. The combination of great service, comfortable accommodation, and reasonable prices make it an excellent choice forAnyone visiting theCity. The staff, including Joan, Shirley, Jem, David, Zina, and Linda, provided exceptional customer service during my two-week stay. The Chancellor Hotel is in a prime position opposite Union Square and in close walking access to cable cars, Powell St. The hotel offers you more than the standard hotel with complimentary 24/7 coffe/tea, freshly baked cookies, bowl of fruit and iced lemon infused water."
